manufacturer,model,aircraft_type,description,engine_count,engine_type,aircraft_category,engine_manufacturer,engine_model,body_type,max_seats,engine_source,max_seats_source,contributor,
Boeing,737-8SH,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8U3,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8V3,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8X2,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8Z0,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8Z6,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8Z9,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8ZE,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8ZM,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8ZQ,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-8ZS,B738,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/2;CFM56-7B24/3;CFM56-7B24/B1;CFM56-7B24/3B1;CFM56-7B26;CFM56-7B26/2;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B27;CFM56-7B27/2;CFM56-7B27/3;CFM56-7B27/3F,Narrow,189,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-900ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-91MER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-924,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-924ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-932ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-93YER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-94XER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-958ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-95R,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-96NER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-97L,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-97Y,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-990,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-990ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9B5,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9B5ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9BQ,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9F2ER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9FG,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9FGER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9GJER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9GPER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9HW,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9K2,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,215,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
Boeing,737-9KFER,B739,L2J,2,Jet,LandPlane,CFM International,CFM56-7B24;CFM56-7B24/3;CFM56-7B24/3B1;CFM56-7B24E;CFM56-7B24E/B1;CFM56-7B26;CFM56-7B26/3;CFM56-7B26/3F;CFM56-7B26E;CFM56-7B26E/F;CFM56-7B27;CFM56-7B27/3;CFM56-7B27/3F;CFM56-7B27E;CFM56-7B27E/F;CFM56-7B27/B1;CFM56-7B27/3B1;CFM56-7B27/3B1F;CFM56-7B27E/B1;CFM56-7B27E/B1F;CFM56-7B27/B3;CFM56-7B27/3B3;CFM56-7B27E/B3,Narrow,220,https://rgl.faa.gov/Regulatory_and_Guidance_Library/rgMakeModel.nsf/0/e038ae3ed2dbc2ae86257479004d1e57/$FILE/A16WE.pdf,https://en.wikipedia.org/wiki/Boeing_737,Bhavye,
